"ward","sect","block","lot","propertyAddress","lotSize","cityTax","stateTax","resCode","asOfDate","orig_lot"
"15","320","3322","005","3808 PARK HEIGHTS AVE",3680,"674.40","33.60","PRINCIPAL RESIDENCE","03/25/2015","23X160"
"6","10","1678","062","408 N ROBINSON ST",720,"2137.85","106.51","PRINCIPAL RESIDENCE","03/25/2015","12X60"
"26","400","5910A","015","3117 BRENDAN AVE",2034.9,"2537.99","126.45","PRINCIPAL RESIDENCE","03/25/2015","19X107.10"
"25","50","7646","053C","2845 JOSEPH AVE",2265.12,"3088.75","153.89","PRINCIPAL RESIDENCE","03/25/2015","0.052 ACRES"
"15","240","3107","009","3400 LYNCHESTER ROAD",8642.71,"4904.39","244.35","PRINCIPAL RESIDENCE","03/25/2015","70.9X121.9"
"23","110","1014","004","1607 S CHARLES ST",1400,"8020.86","399.62","PRINCIPAL RESIDENCE","03/25/2015","14X100"
"6","120","1705","067A","122 N DUNCAN ST",1001.88,"6105.57","304.19","PRINCIPAL RESIDENCE","03/25/2015","0.023 ACRES"
"26","330","4179S","284","3756 SINCLAIR LANE",4876.62,"2086.14","103.94","PRINCIPAL RESIDENCE","03/25/2015","42X116.11"
"12","10","3708","059","3912 GREENMOUNT AVE",2452,"3198.90","159.38","PRINCIPAL RESIDENCE","03/25/2015","20X122.6"
"27","220","4360B","002B","3000 GLEN AVE",7200,"4781.50","238.22","PRINCIPAL RESIDENCE","03/25/2015","60X120"
"27","30","5679","002","3205 GLENMORE AVE",9165.25,"3890.55","193.84","PRINCIPAL RESIDENCE","03/25/2015","60.10X152.5"
"25","50","7446","016","2331 ANNAPOLIS ROAD",1392,"899.20","44.80","PRINCIPAL RESIDENCE","03/25/2015","16X87"
"27","220","4325","035","3011 FALLSTAFF ROAD U# 503A",1667,"1910.80","95.20","PRINCIPAL RESIDENCE","03/25/2015","1667 SQ FT"
"15","250","2755","011A","3019 CHELSEA TERR",2420,"2213.54","110.28","PRINCIPAL RESIDENCE","03/25/2015","22X110"
"16","50","0049","029","1111 APPLETON ST",988.4,"269.76","13.44","PRINCIPAL RESIDENCE","03/25/2015","14X70.6"
"27","230","4293","024","6500 HOPETON AVE",5168.44,"3793.88","189.02","PRINCIPAL RESIDENCE","03/25/2015","44.9X115.11"
"27","40","5506A","002","3100 TAYLOR AVE",2845,"3043.79","151.65","PRINCIPAL RESIDENCE","03/25/2015","50X56.9"
"25","20","7835","025","2807 WASHINGTON BLVD",1123.5,"2488.54","123.98","PRINCIPAL RESIDENCE","03/25/2015","15X74.9"
"9","210","3986H","047","3711 DELVERNE ROAD",2200,"3250.61","161.95","PRINCIPAL RESIDENCE","03/25/2015","22X100"
"27","600","5237B","262","1604 RAMBLEWOOD ROAD",2177.4,"2956.12","147.28","PRINCIPAL RESIDENCE","03/25/2015","19X114.6"
"27","580","5237","349","5804 FALKIRK ROAD",3841,"2414.35","120.29","PRINCIPAL RESIDENCE","03/25/2015","33.4X115"
"24","100","2034A","021","1513 E FORT AVE",759.8,"4824.21","240.35","PRINCIPAL RESIDENCE","03/25/2015","13.10X58"
"27","200","4574","018","5014 CORDELIA AVE",2150,"539.52","26.88","PRINCIPAL RESIDENCE","03/25/2015","21.5X100"
"27","270","5412A","004","2814 HAMILTON AVE",4550,"2868.45","142.91","PRINCIPAL RESIDENCE","03/25/2015","35X130"
"27","240","5387","126","1919 E BELVEDERE AVE",3132.9,"2720.08","135.52","PRINCIPAL RESIDENCE","03/25/2015","29.5X106.2"
"24","70","1935","085","1509 HENRY ST",1033.6,"4109.34","204.74","PRINCIPAL RESIDENCE","03/25/2015","13.6X76"
"25","10","2530C","112","753 YALE AVE",1600,"2582.95","128.69","PRINCIPAL RESIDENCE","03/25/2015","16X100"
"27","600","5237B","374","1518 GLENEAGLE ROAD",2677.82,"2866.20","142.80","PRINCIPAL RESIDENCE","03/25/2015","19.1X140.2"
"27","150","4843K","010","118 CASTLEWOOD ROAD",14298.7,"7472.35","372.29","PRINCIPAL RESIDENCE","03/25/2015","84.11X170"
"13","130","3511","064","3321 ELM AVE",840,"2283.97","113.79","PRINCIPAL RESIDENCE","03/25/2015","12X70"
"27","160","4778E","011","1309 W NORTHERN PKWY",31450.3,"5458.14","271.94","PRINCIPAL RESIDENCE","03/25/2015","0.722 ACRES"
"27","150","4843A","006","5518 N CHARLES ST",12240,"6629.35","330.29","PRINCIPAL RESIDENCE","03/25/2015","85X144"
"25","10","8143","011","620 GIBSON ROAD",1816,"3088.75","153.89","PRINCIPAL RESIDENCE","03/25/2015","16X113.5"
"8","10","4149B","048","3420 WOODSTOCK AVE",1957,"2902.17","144.59","PRINCIPAL RESIDENCE","03/25/2015","19X103"
"13","150","3575A","059","1331 ROLAND HEIGHTS AVE",1779.32,"2846.71","141.83","PRINCIPAL RESIDENCE","03/25/2015","24.11X73.8"
"15","40","3031","034","2820 WINDSOR AVE",1430.8,"1619.30","80.68","PRINCIPAL RESIDENCE","03/25/2015","14.6X98"
"2","70","1782","009","518 S WASHINGTON ST",1215,"4552.20","226.80","PRINCIPAL RESIDENCE","03/25/2015","15X81"
"26","440","6072D","031","5470 BUCKNELL ROAD",1800,"2704.34","134.74","PRINCIPAL RESIDENCE","03/25/2015","18X100"
"26","440","6072H","019","5527 CEDONIA AVE",1837.98,"2394.12","119.28","PRINCIPAL RESIDENCE","03/25/2015","18X102.11"
"27","220","4325","054","3021 FALLSTAFF ROAD U# 106B",1676,"1910.80","95.20","PRINCIPAL RESIDENCE","03/25/2015","1676 SQ FT"
"27","510","5140M","074","1030 WITHERSPOON ROAD",2020.2,"1778.17","88.59","PRINCIPAL RESIDENCE","03/25/2015","18.5X109.2"
"27","90","5267O","070","5305 LOCH RAVEN BLVD",5040,"3219.14","160.38","PRINCIPAL RESIDENCE","03/25/2015","36X140"
"27","40","5614","036","3040 PINEWOOD AVE",10110,"3866.56","192.64","PRINCIPAL RESIDENCE","03/25/2015","50X202.2"
"20","20","2201","014","2327 EDMONDSON AVE",1520,"2230.02","111.10","PRINCIPAL RESIDENCE","03/25/2015","16X95"
"27","170","4652B","013A","6501 BAYTHORNE ROAD",13002.3,"6359.59","316.85","PRINCIPAL RESIDENCE","03/25/2015","127.10X102.3"
"12","50","3619","043","431 W 24TH ST",910,"1740.69","86.72","PRINCIPAL RESIDENCE","03/25/2015","13X70"
"27","20","5761","009","3607 KEENE AVE",8260,"3999.19","199.25","PRINCIPAL RESIDENCE","03/25/2015","70X118"
"27","330","5426","030","2402 HEMLOCK AVE",19188.7,"3083.51","153.63","PRINCIPAL RESIDENCE","03/25/2015","145.7X131.7"
"27","440","5267D","051","1311 PENTRIDGE ROAD",2876.22,"2648.14","131.94","PRINCIPAL RESIDENCE","03/25/2015","26.10X110.2"
"27","180","4811","058","4574 DERBY MANOR DR",2517.5,"1766.93","88.03","PRINCIPAL RESIDENCE","03/25/2015","26.5X95"
"27","130","4790A","081","4318 NEWPORT AVE",1120,"3849.32","191.78","PRINCIPAL RESIDENCE","03/25/2015","16X70"
"9","220","3972K","008","3814 REXMERE ROAD",2000,"2958.37","147.39","PRINCIPAL RESIDENCE","03/25/2015","20X100"
"1","110","1880","071","909 S DECKER AVE",625.4,"3039.30","151.42","PRINCIPAL RESIDENCE","03/25/2015","11.8X53"
"15","190","3262C","026","3246 TIOGA PKWY",1990,"2900.66","144.52","PRINCIPAL RESIDENCE","03/25/2015","19.9X100"
"17","30","0430","003","705 DOLPHIN ST",1120,"442.11","22.03","PRINCIPAL RESIDENCE","03/25/2015","14X80"
"16","40","0072","002B","902 N FULTON AVE U# M",1919,"1079.04","53.76","PRINCIPAL RESIDENCE","03/25/2015","1919 SQ FT"
"1","140","1761","052","254 S ROBINSON ST",788.76,"5321.02","265.10","PRINCIPAL RESIDENCE","03/25/2015","12.6X62.6"
"16","170","2507A","022","712 MOUNT HOLLY ST",1600,"1728.71","86.13","PRINCIPAL RESIDENCE","03/25/2015","20X80"
"15","30","2880F","013","3743 NORTONIA ROAD",6448,"3638.77","181.29","PRINCIPAL RESIDENCE","03/25/2015","52X124"
"13","50","3228B","047","2846 PARKWOOD AVE",1428,"734.35","36.59","PRINCIPAL RESIDENCE","03/25/2015","17X84"
"26","370","4179E","024","3421 KENTUCKY AVE",5842,"2351.41","117.15","PRINCIPAL RESIDENCE","03/25/2015","46X127"
"27","60","5390","031","5213 TRAMORE ROAD",7033.1,"3551.84","176.96","PRINCIPAL RESIDENCE","03/25/2015","53X132.7"
"28","30","8286","066","5536 GWYNN OAK AVE",6415.92,"2740.31","136.53","PRINCIPAL RESIDENCE","03/25/2015","34.2X187.6"
"1","140","1779","018","435 S ELLWOOD AVE",1001,"3219.14","160.38","PRINCIPAL RESIDENCE","03/25/2015","14.3X70"
"24","130","1919","052","403 SANDERS ST",684,"4916.38","244.94","PRINCIPAL RESIDENCE","03/25/2015","12X57"
"26","60","6440","022","3303 MUELLER ST",722.4,"6112.31","304.53","PRINCIPAL RESIDENCE","03/25/2015","14X51.6"
"1","30","1766","043","345 S CHESTER ST",900,"7519.56","374.64","PRINCIPAL RESIDENCE","03/25/2015","15X60"
"1","140","1750","042","132 S POTOMAC ST",973,"5098.46","254.02","PRINCIPAL RESIDENCE","03/25/2015","13.9X70"
"26","280","6120","003","4604 SHAMROCK AVE",1686.4,"1717.47","85.57","PRINCIPAL RESIDENCE","03/25/2015","16X105.4"
"26","370","4179G","093","3554 JUNEWAY",2000,"2225.52","110.88","PRINCIPAL RESIDENCE","03/25/2015","20X100"
"26","160","6304","003","205 S EATON ST",1635.4,"2604.69","129.77","PRINCIPAL RESIDENCE","03/25/2015","13X125.8"
"13","150","3574","026F","4415 FALLS BRIDGE DR U# D",547.5,"1423.73","70.93","PRINCIPAL RESIDENCE","03/25/2015","547.5 SQ FT"
"26","220","6000","034","4301 WILLSHIRE AVE",9550,"2812.25","140.11","PRINCIPAL RESIDENCE","03/25/2015","50X191"
"9","90","1146","033","1315 TOWNWAY",1829.52,"899.20","44.80","PRINCIPAL RESIDENCE","03/25/2015","0.042 ACRES"
"27","560","5138A","515R","5802 NORTHWOOD DR",2220,"2663.14","132.68","PRINCIPAL RESIDENCE","03/25/2015","20X111"
"27","120","5069C","004","214 NORTHWAY",15523.2,"12734.18","634.44","PRINCIPAL RESIDENCE","03/25/2015","88X176.4"
"20","80","0270","024","348 S BENTALOU ST",1155,"562.00","28.00","PRINCIPAL RESIDENCE","03/25/2015","15X77"
"1","100","1886","047","3137 DILLON ST",1020,"5817.82","289.86","PRINCIPAL RESIDENCE","03/25/2015","13.6X75"
"27","160","4778E","209","111 HAMLET HILL ROAD U# #605",812,"2292.96","114.24","PRINCIPAL RESIDENCE","03/25/2015","812 S.F."
"26","270","6124","112","4788 ELISON AVE",4611,"2011.96","100.24","PRINCIPAL RESIDENCE","03/25/2015","46.11X100"
"27","40","5582","001","4101 CHESLEY AVE",14500,"5892.01","293.55","PRINCIPAL RESIDENCE","03/25/2015","100X145"
"20","60","2171","072","20 S CATHERINE ST",1030.88,"382.16","19.04","PRINCIPAL RESIDENCE","03/25/2015","13.6X75.8"
"27","240","5387","735","2004 WINFORD ROAD",2102,"2652.64","132.16","PRINCIPAL RESIDENCE","03/25/2015","20X105.1"
"20","170","2281","375","353 DENISON ST",2680.97,"1796.15","89.49","PRINCIPAL RESIDENCE","03/25/2015","31.5X85.11"
"24","90","2011","061","739 HARVEY ST",833,"2699.85","134.51","PRINCIPAL RESIDENCE","03/25/2015","11.9X70"
"12","40","3644","003","2705 HAMPDEN AVE",1005,"3768.39","187.75","PRINCIPAL RESIDENCE","03/25/2015","13.4X75"
"12","150","3834","011","2521 GUILFORD AVE",2100,"4154.30","206.98","PRINCIPAL RESIDENCE","03/25/2015","15X140"
"10","110","1222","007","813 AISQUITH ST",1385.8,"1910.80","95.20","PRINCIPAL RESIDENCE","03/25/2015","1385.8 S.F."
"24","110","2024","152","1200 STEUART ST U# 331",1507,"5916.74","294.78","PRINCIPAL RESIDENCE","03/25/2015","1507 SQ FT"
"27","190","4536A","028","5309 HAMLIN AVE",1500,"1578.10","78.62","PRINCIPAL RESIDENCE","03/25/2015","15X100"
"25","10","8139F","007J","5307 WYNDHOLME CIR U# 301",1330,"3057.28","152.32","PRINCIPAL RESIDENCE","03/25/2015","1330 SQ FT"
"26","440","6072G","006","5449 BUCKNELL ROAD",1803.6,"2380.63","118.61","PRINCIPAL RESIDENCE","03/25/2015","18X100.2"
"15","180","3261A","030","2051 N BENTALOU ST",1489.6,"899.20","44.80","PRINCIPAL RESIDENCE","03/25/2015","19.6X76"
"28","20","8212A","046","5616 BELLE AVE",3224.01,"2045.68","101.92","PRINCIPAL RESIDENCE","03/25/2015","30.1X107.11"
"20","40","2541","069","4107 OLD FREDERICK ROAD",5419.86,"1850.10","92.18","PRINCIPAL RESIDENCE","03/25/2015","61.8X87.7"
"8","160","1490","020","2903 E FEDERAL ST",1786,"2154.33","107.33","PRINCIPAL RESIDENCE","03/25/2015","19X94"
"27","220","4367","033","3411 LUDGATE ROAD",4062,"3066.27","152.77","PRINCIPAL RESIDENCE","03/25/2015","30X135.4"
"6","130","1724","060","2304 E BALTIMORE ST",1684.7,"5010.79","249.65","PRINCIPAL RESIDENCE","03/25/2015","17X99.10"
"13","70","3406","063","2525 PENNSYLVANIA AVE",1296,"1222.17","60.89","PRINCIPAL RESIDENCE","03/25/2015","14.4X90"
"22","90","0904","016","10 W HENRIETTA ST",1132,"8657.05","431.31","PRINCIPAL RESIDENCE","03/25/2015","20X56.6"
"27","10","5889","019","4405 WALTHER AVE",7500,"3999.19","199.25","PRINCIPAL RESIDENCE","03/25/2015","50X150"
"9","180","3955","023","1845 E 30TH ST",1349,"599.47","29.87","PRINCIPAL RESIDENCE","03/25/2015","14.2X95"
"16","180","2505","007","3601 EVERSLEY ST",3345.6,"1578.10","78.62","PRINCIPAL RESIDENCE","03/25/2015","41X81.6"
"27","40","5581","003","4011 CHESLEY AVE",7250,"3655.25","182.11","PRINCIPAL RESIDENCE","03/25/2015","50X145"
"27","240","5387","582","1931 NORTHBOURNE ROAD",3640,"2994.34","149.18","PRINCIPAL RESIDENCE","03/25/2015","36.4X100"
"27","310","5418C","019","2704 BEECHLAND AVE",5980,"3068.52","152.88","PRINCIPAL RESIDENCE","03/25/2015","46X130"
"9","200","4059A","033","703 E 37TH ST",1456,"1952.01","97.25","PRINCIPAL RESIDENCE","03/25/2015","16X91"
"27","40","5555","039","3507 CHESLEY AVE",4805.65,"3131.46","156.02","PRINCIPAL RESIDENCE","03/25/2015","43.1X111.5"
"26","30","6570C","105","4609 FOSTER AVE",1089,"5336.75","265.89","PRINCIPAL RESIDENCE","03/25/2015","0.025 ACRES"
"9","210","3977A","027","917 E 37TH ST",1321.6,"2850.46","142.02","PRINCIPAL RESIDENCE","03/25/2015","16X82.6"
"9","20","4097","003A","3109 INDEPENDENCE ST",1274,"1620.81","80.75","PRINCIPAL RESIDENCE","03/25/2015","14X91"
"26","230","5744","007","4215 WHITE AVE",13000,"3259.60","162.40","PRINCIPAL RESIDENCE","03/25/2015","100X130"
"27","440","5267C","049","4653 MARBLE HALL ROAD",10614.5,"2605.43","129.81","PRINCIPAL RESIDENCE","03/25/2015","92.3X115"
"8","20","4164B","048","1717 CLIFTVIEW AVE",845,"323.71","16.13","PRINCIPAL RESIDENCE","03/25/2015","13X65"
"24","20","0966","045","131 E WEST ST",1120,"6950.82","346.30","PRINCIPAL RESIDENCE","03/25/2015","16X70"
"2","30","1734","137","27 YOGURT LANE",740.52,"10911.79","543.65","PRINCIPAL RESIDENCE","03/25/2015","0.017 ACRES"
"27","30","5643","001B","6122 ALTA AVE",5603.51,"2953.87","147.17","PRINCIPAL RESIDENCE","03/25/2015","42.1X133.1"
"27","160","4778E","143","111 HAMLET HILL ROAD U# 107",1800,"4833.20","240.80","PRINCIPAL RESIDENCE","03/25/2015","1800 S.F."
"15","290","3055A","009E","3321 MONDAWMIN AVE",2700,"1842.62","91.80","PRINCIPAL RESIDENCE","03/25/2015","18X150"
"27","220","4360A","056","3424 LUDGATE ROAD",3666,"2940.38","146.50","PRINCIPAL RESIDENCE","03/25/2015","30X122.2"
"15","40","3032","035","2908 POPLAR TERR",1746.6,"1602.82","79.86","PRINCIPAL RESIDENCE","03/25/2015","29.11X60"
"26","340","6128","019","3936 KENYON AVE",1864,"1730.96","86.24","PRINCIPAL RESIDENCE","03/25/2015","16X116.5"
"26","430","5953D","012","4512 WOODLEA AVE",4624.62,"2942.63","146.61","PRINCIPAL RESIDENCE","03/25/2015","42X110.11"
"27","110","5003","022","322 BROXTON ROAD",7853.49,"8324.34","414.74","PRINCIPAL RESIDENCE","03/25/2015","59X133.11"
"27","360","5475","100","2810 ALVARADO SQ",12585,"3185.42","158.70","PRINCIPAL RESIDENCE","03/25/2015","50X251.7"
"1","90","1902E","072","1200 ANCHORAGE VIEW CT",1045.44,"15511.20","772.80","PRINCIPAL RESIDENCE","03/25/2015","0.024 ACRES"
"9","150","3956","006","3011 THE ALAMEDA",2277,"1578.10","78.62","PRINCIPAL RESIDENCE","03/25/2015","20.7X110"
"25","20","7759A","001","1700 DESOTO ROAD",6000,"3347.27","166.77","PRINCIPAL RESIDENCE","03/25/2015","50X120"
"15","280","2826B","022","2317 LYNDHURST AVE",10952,"3387.74","168.78","PRINCIPAL RESIDENCE","03/25/2015","80X136.9"
"27","160","4908","009","3 ELMHURST ROAD",15285.9,"11957.11","595.73","PRINCIPAL RESIDENCE","03/25/2015","87X175.7"
"2","80","1829","058","615 S DURHAM ST",832.5,"4601.66","229.26","PRINCIPAL RESIDENCE","03/25/2015","12.5X66.6"
"26","430","5953A","007A","4207 VALLEY VIEW AVE",7500,"3329.29","165.87","PRINCIPAL RESIDENCE","03/25/2015","50X150"
"15","290","3055B","006","2420 N ELLAMONT ST",2875,"2604.69","129.77","PRINCIPAL RESIDENCE","03/25/2015","23X125"
"27","180","3350B","031","2422 W COLD SPRING LANE",1663.2,"1434.22","71.46","PRINCIPAL RESIDENCE","03/25/2015","18X92.4"
"9","50","4021B","028","754 BARTLETT AVE",1003.46,"449.60","22.40","PRINCIPAL RESIDENCE","03/25/2015","13.10X76.6"
"27","150","4778B","036","5702 FALLS ROAD",8973.36,"2661.63","132.61","PRINCIPAL RESIDENCE","03/25/2015","0.206 ACRES"
"15","60","3085A","025","2104 KOKO LANE",1369.6,"809.28","40.32","PRINCIPAL RESIDENCE","03/25/2015","16X85.6"
"27","150","4660C","010","1306 APPLEBY AVE",5720,"3619.28","180.32","PRINCIPAL RESIDENCE","03/25/2015","44X130"
"27","610","5028","160","5200 TABARD CT",1742.4,"7157.63","356.61","PRINCIPAL RESIDENCE","03/25/2015","0.040 ACRES"
"28","40","8476","016","4703 WAKEFIELD ROAD",4767.68,"3452.93","172.03","PRINCIPAL RESIDENCE","03/25/2015","37.6X126.8"
"24","60","1031","042","1821 LIGHT ST",1461.6,"3682.22","183.46","PRINCIPAL RESIDENCE","03/25/2015","11.6X126"
"13","150","3577","001","1301 W 42ND ST",1460,"3133.71","156.13","PRINCIPAL RESIDENCE","03/25/2015","14.6X100"
"8","220","1558","011","1121 N LAKEWOOD AVE",1022,"385.15","19.19","PRINCIPAL RESIDENCE","03/25/2015","14.6X70"
"27","270","5400A","011","2200 WOODBOURNE AVE",4878.72,"4149.81","206.75","PRINCIPAL RESIDENCE","03/25/2015","0.112 ACRES"
"26","10","6992","007","6540 RIVERVIEW AVE",1840,"1847.11","92.03","PRINCIPAL RESIDENCE","03/25/2015","16X115"
"15","220","2939","016","3821 SEQUOIA AVE",7035,"2956.12","147.28","PRINCIPAL RESIDENCE","03/25/2015","50X140.7"
"28","10","4419A","010","4218 W ROGERS AVE",4140.9,"2259.24","112.56","PRINCIPAL RESIDENCE","03/25/2015","38.7X107"
